City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Klaksvik,FO,2022-03-06 22:15:58,62.2266,-6.589,45.52,93,100,28.23
132,Mogzon,RU,2022-03-06 22:15:59,51.7435,111.9606,3.25,99,100,0.85
133,Husavik,IS,2022-03-06 22:16:01,66.0449,-17.3389,33.71,79,9,16.04
134,Tuy Hoa,VN,2022-03-06 22:16:01,13.0833,109.3,72.97,93,99,3.09
135,New Glasgow,CA,2022-03-06 22:12:32,45.5834,-62.6486,34.92,98,100,13.65
136,Sangar,RU,2022-03-06 22:16:04,63.9242,127.4739,1.51,85,100,8.32
137,Yellowknife,CA,2022-03-06 22:16:06,62.456,-114.3525,17.42,97,100,9.22
138,Horsham,GB,2022-03-06 22:17:06,51.064,-0.3272,42.03,72,40,14.97
139,Aitape,PG,2022-03-06 22:17:07,-3.1374,142.3475,79.18,81,91,2.75
140,Juba,SS,2022-03-06 22:17:09,4.8517,31.5825,87.37,23,95,4.07
141,Vao,NC,2022-03-06 22:17:09,-22.6667,167.4833,78.89,77,82,14.29
142,Qaanaaq,GL,2022-03-06 22:17:10,77.484,-69.3632,1.54,57,0,6.87
143,Bintulu,MY,2022-03-06 22:17:14,3.1667,113.0333,73.81,100,40,3.44
144,Dikson,RU,2022-03-06 22:17:15,73.5069,80.5464,-18.42,100,94,6.02
145,Raga,SS,2022-03-06 22:17:17,8.4596,25.678,81.12,15,8,2.8
146,Emerald,AU,2022-03-06 22:17:18,-23.5333,148.1667,78.35,38,0,11.21
147,Acajutla,SV,2022-03-06 22:17:20,13.5928,-89.8275,100.74,57,71,8.5
148,San Quintin,MX,2022-03-06 22:17:21,30.4833,-115.95,59.4,55,0,19.13
149,Aklavik,CA,2022-03-06 22:17:23,68.2191,-135.0107,16.63,86,100,16.06
150,Bredasdorp,ZA,2022-03-06 22:17:26,-34.5322,20.0403,69.28,78,1,11.5
151,Ilulissat,GL,2022-03-06 22:15:51,69.2167,-51.1,19.42,86,75,17.27
152,Berberati,CF,2022-03-06 22:17:28,4.2612,15.7922,73.96,64,34,3.09
153,Kahului,US,2022-03-06 22:17:29,20.8947,-156.47,84.22,51,20,9.22
154,Sibu,MY,2022-03-06 22:17:31,2.3,111.8167,73.71,94,40,4.61
155,Schwerin,DE,2022-03-06 22:17:33,53.6294,11.4132,32.72,92,17,1.99
156,Souillac,MU,2022-03-06 22:17:34,-20.5167,57.5167,80.37,89,75,12.66
157,Santa Maria,BR,2022-03-06 22:17:36,-29.6842,-53.8069,71.4,96,100,5.32
158,Bernau,DE,2022-03-06 22:17:36,52.6798,13.5871,35.62,67,91,3.06
159,Gidole,ET,2022-03-06 22:17:37,5.65,37.3667,64.17,29,60,5.01
160,Bethel,US,2022-03-06 22:17:38,41.3712,-73.414,66.31,77,0,11.5
161,Inhambane,MZ,2022-03-06 22:17:38,-23.865,35.3833,74.34,78,27,7.27
162,Alyangula,AU,2022-03-06 22:17:40,-13.8483,136.4192,83.61,79,100,7.27
163,Sidi Ali,DZ,2022-03-06 22:17:42,36.0998,0.4206,50.77,69,99,2.48
164,Saint-Philippe,RE,2022-03-06 22:17:44,-21.3585,55.7679,78.39,87,100,16.71
165,Hovd,MN,2022-03-06 22:17:45,48.0056,91.6419,13.01,57,100,6.11
166,Troitsko-Pechorsk,RU,2022-03-06 22:17:47,62.7084,56.1964,-13.59,100,99,3.49
167,Termiz,UZ,2022-03-06 22:17:48,37.2242,67.2783,51.89,82,100,4.61
168,Moindou,NC,2022-03-06 22:17:49,-21.6924,165.677,84.15,72,66,3.4
169,Scottsbluff,US,2022-03-06 22:17:49,41.8666,-103.6672,25.92,73,100,13.8
170,Mochudi,BW,2022-03-06 22:17:50,-24.4167,26.15,72.19,62,29,8.88
171,Tilichiki,RU,2022-03-06 22:17:51,60.4667,166.1,0.3,87,95,9.84
172,Nanortalik,GL,2022-03-06 22:17:53,60.1432,-45.2371,22.93,89,100,10.2
173,Makakilo City,US,2022-03-06 22:17:53,21.3469,-158.0858,80.92,51,0,11.5
174,Honiara,SB,2022-03-06 22:17:55,-9.4333,159.95,84.33,70,55,1.32
175,Ginda,IN,2022-03-06 22:17:56,30.6945,78.4932,51.28,38,100,5.35
176,Kirillov,RU,2022-03-06 22:17:59,59.863,38.3813,24.73,96,99,6.44
177,Auki,SB,2022-03-06 22:18:01,-8.7676,160.7034,83.98,63,78,0.49
