City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Bilma,NE,18.6853,12.9164,69.3,24,9,12.03,clear sky
203,Mossendjo,CG,-2.9506,12.7261,70.41,99,100,3.44,moderate rain
204,Boguchany,RU,58.3814,97.4531,-21.21,100,98,1.25,overcast clouds
205,Valentin Gomez Farias,MX,28.2167,-106.5833,65.28,7,36,26.26,scattered clouds
206,Broken Hill,AU,-31.95,141.4333,69.62,32,15,14.43,few clouds
207,Carutapera,BR,-1.195,-46.02,75.25,93,100,2.71,overcast clouds
208,Bat Khela,PK,34.6167,71.9714,56.71,42,30,6.8,scattered clouds
209,Voh,NC,-20.9667,164.7,87.82,53,54,10.25,broken clouds
210,Altea,ES,38.5989,-0.0514,55.69,86,95,1.01,overcast clouds
211,Kahului,US,20.8947,-156.47,89.62,57,40,17.27,scattered clouds
212,Gamba,GA,-2.65,10.0,79.34,83,100,5.55,overcast clouds
213,Conceicao Da Barra,BR,-18.5933,-39.7322,76.82,84,26,5.3,scattered clouds
214,Rivne,UA,50.6231,26.2274,20.34,55,0,9.57,clear sky
215,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,0,8.05,clear sky
216,Tecoanapa,MX,16.5167,-98.75,81.48,63,1,10.49,clear sky
217,Bardiyah,LY,31.7561,25.0865,52.03,56,39,22.17,scattered clouds
218,Bandarbeyla,SO,9.4942,50.8122,75.33,73,100,9.33,overcast clouds
219,Biltine,TD,14.5333,20.9167,76.89,21,21,24.61,few clouds
220,San Patricio,US,28.017,-97.5169,67.17,81,100,9.17,overcast clouds
221,Henties Bay,NA,-22.116,14.2845,66.15,86,70,5.32,broken clouds
222,Nzega,RW,-2.479,29.5564,56.59,91,100,4.14,overcast clouds
223,Naujamiestis,LT,55.6869,24.1523,23.09,66,5,5.55,clear sky
224,Torbay,CA,47.6666,-52.7314,30.58,78,0,19.57,clear sky
225,Vung Tau,VN,10.346,107.0843,76.42,83,95,7.23,overcast clouds
226,Bluff,NZ,-46.6,168.3333,66.79,64,99,10.58,overcast clouds
227,Honggang,CN,46.4667,124.8667,27.99,61,0,17.63,clear sky
228,Champerico,GT,14.3,-91.9167,79.34,60,8,6.02,clear sky
229,Mobaye,CF,4.319,21.1786,74.91,85,99,4.56,overcast clouds
230,Tual,ID,-5.6667,132.75,83.88,68,97,1.88,moderate rain
231,Aswan,EG,24.0934,32.907,58.55,32,53,16.67,broken clouds
232,Namatanai,PG,-3.6667,152.4333,83.39,70,100,3.58,light rain
233,Fortuna,US,40.5982,-124.1573,60.85,57,0,12.66,clear sky
234,Port Macquarie,AU,-31.4333,152.9167,72.9,58,88,7.94,overcast clouds
235,Upernavik,GL,72.7868,-56.1549,-14.17,99,59,2.86,broken clouds
236,Snezhnogorsk,RU,69.1933,33.2531,28.18,84,84,19.3,broken clouds
237,Dikson,RU,73.5069,80.5464,-14.15,99,86,16.96,overcast clouds
238,Ginda,IN,30.6945,78.4932,47.52,27,0,8.9,clear sky
239,Pevek,RU,69.7008,170.3133,13.62,71,4,8.68,clear sky
240,Port Alfred,ZA,-33.5906,26.891,71.98,79,63,3.49,broken clouds
241,Severo-Kurilsk,RU,50.6789,156.125,31.03,93,100,17.2,light snow
242,Lompoc,US,34.6391,-120.4579,73.02,52,0,19.57,clear sky
243,Mar Del Plata,AR,-38.0023,-57.5575,65.88,68,0,4.0,clear sky
244,Luwuk,ID,-0.9516,122.7875,82.2,83,60,1.61,light rain
245,Tuatapere,NZ,-46.1333,167.6833,70.9,54,99,7.31,overcast clouds
246,Alice Springs,AU,-23.7,133.8833,82.22,20,33,10.36,scattered clouds
247,Grindavik,IS,63.8424,-22.4338,45.07,93,75,14.97,broken clouds
248,Ostersund,SE,63.1792,14.6357,32.45,74,75,9.22,broken clouds
249,Castro,BR,-24.7911,-50.0119,64.58,97,79,3.11,broken clouds
250,Vallenar,CL,-28.5708,-70.7581,71.71,57,0,3.91,clear sky
251,Puerto Escondido,MX,15.85,-97.0667,83.23,69,0,0.0,clear sky
252,Takoradi,GH,4.8845,-1.7554,81.32,85,93,6.96,overcast clouds
253,Iqaluit,CA,63.7506,-68.5145,-13.27,83,40,4.61,scattered clouds
254,Mayo,US,38.8876,-76.5119,48.18,72,100,1.01,overcast clouds
255,Clyde River,CA,70.4692,-68.5914,-25.37,75,0,2.3,clear sky
256,Dordrecht,NL,51.81,4.6736,48.06,57,5,3.0,clear sky
257,Baghdad,IQ,33.3406,44.4009,62.51,45,0,9.22,clear sky
258,Katangli,RU,51.7102,143.2326,23.38,93,74,12.73,broken clouds
259,Poronaysk,RU,49.2167,143.1167,26.64,95,100,3.71,light snow
260,Ajdabiya,LY,30.7554,20.2263,50.5,59,34,8.57,scattered clouds
261,Arroio Grande,BR,-32.2375,-53.0869,68.13,86,100,5.93,light rain
262,Alyangula,AU,-13.8483,136.4192,87.24,68,58,7.36,broken clouds
263,Nioro,GM,13.35,-15.75,79.38,26,61,9.22,broken clouds
264,Ukiah,US,39.1502,-123.2078,72.37,24,0,5.75,clear sky
265,Charters Towers,AU,-20.1,146.2667,86.72,57,100,8.08,overcast clouds
266,San Cristobal,VE,7.7669,-72.225,71.78,92,83,2.04,broken clouds
267,Lamu,KE,-2.2717,40.902,79.02,81,22,10.04,few clouds
268,Sitka,US,57.0531,-135.33,42.69,75,100,12.66,moderate rain
269,Cavalcante,BR,-13.7975,-47.4583,69.55,79,54,1.99,broken clouds
270,Halifax,CA,44.6453,-63.5724,35.6,93,40,11.5,scattered clouds
271,Srednekolymsk,RU,67.45,153.6833,1.76,93,99,2.37,overcast clouds
272,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,52,75,15.66,broken clouds
273,Ostrovnoy,RU,68.0531,39.5131,28.94,93,84,16.37,broken clouds
274,Vostok,RU,46.4856,135.8833,31.68,83,39,8.9,scattered clouds
275,Khawhai,IN,23.3667,93.1167,49.12,48,63,2.55,broken clouds
276,Acapulco,MX,16.8634,-99.8901,78.62,73,0,12.66,clear sky
277,Palana,RU,59.1167,159.9667,23.7,76,55,7.96,broken clouds
278,Flin Flon,CA,54.7682,-101.865,-2.36,50,40,16.11,scattered clouds
279,Kyaukse,MM,21.6,96.1333,66.2,63,40,0.0,haze
280,Vagur,FO,61.4732,-6.8119,44.74,81,100,28.34,overcast clouds
281,Le Vauclin,MQ,14.5452,-60.8388,78.85,73,75,17.27,broken clouds
282,Jumla,NP,29.2747,82.1838,38.46,62,60,5.68,broken clouds
283,Taloqan,AF,36.7361,69.5345,57.72,45,99,6.31,overcast clouds
284,Laguna,US,38.421,-121.4238,68.43,13,0,17.27,clear sky
285,Tashtyp,RU,52.7939,89.8983,12.9,95,100,1.23,overcast clouds
286,Pinega,RU,64.7001,43.3936,19.83,93,100,9.66,overcast clouds
287,Pisco,PE,-13.7,-76.2167,71.65,73,0,12.66,heavy intensity rain
288,Payson,US,40.0444,-111.7321,29.68,44,40,19.57,scattered clouds
289,Cochrane,CA,51.1834,-114.4687,21.76,53,100,12.66,overcast clouds
290,Sao Filipe,CV,14.8961,-24.4956,71.04,70,23,10.27,few clouds
291,Soimari,RO,45.1833,26.2,22.73,53,13,3.87,few clouds
292,Punta Alta,AR,-38.8759,-62.0736,65.39,57,94,15.37,overcast clouds
293,Susanville,US,40.4163,-120.653,45.66,22,0,6.91,clear sky
294,Bahadurganj,IN,26.2667,87.8167,66.79,31,0,6.08,clear sky
295,Coahuayana,MX,18.7333,-103.6833,78.67,56,14,5.5,few clouds
296,Saldanha,ZA,-33.0117,17.9442,64.45,89,0,7.81,clear sky
